rank	name	verdict
709	msrestazure	notp
710	sphinxcontrib-serializinghtml	notp
711	langchain-google-vertexai	tp
712	pipenv	notp
713	peewee	notp
714	opentelemetry-instrumentation-django	notp
715	alabaster	notp
716	apscheduler	tp
717	holidays	tp
718	lupa	notp
719	weaviate-client	notp
720	twine	tp
721	pypdf2	tp
722	pytzdata	notp
723	reportlab	
724	azure-datalake-store	notp
725	progressbar2	
726	opentelemetry-instrumentation-flask	notp
727	databricks-sqlalchemy	notp
728	mysqlclient	notp
729	pyiceberg	tp
730	dbt-semantic-interfaces	
731	bracex	tp
732	sqlalchemy-utils	notp
733	bs4	
734	asyncio	notp
735	python-http-client	notp
736	pybind11	tp
737	opentelemetry-instrumentation-psycopg2	notp
738	scikit-image	tp
739	posthog	tp
740	azure-monitor-opentelemetry-exporter	notp
741	python-magic	notp
742	leather	
743	dacite	notp
744	opentelemetry-instrumentation-httpx	notp
745	openapi-schema-validator	tp
746	uv-build	tp
747	flask-sqlalchemy	tp
748	limits	tp
749	aws-requests-auth	notp
750	cssselect	tp
751	hypothesis	notp
752	filetype	notp
753	mypy-boto3-iam	notp
754	sphinxcontrib-htmlhelp	notp
755	sphinxcontrib-qthelp	notp
756	pip-tools	tp
757	sphinxcontrib-applehelp	notp
758	dbt-extractor	tp
759	sphinxcontrib-devhelp	notp
760	sagemaker	notp
761	azure-batch	notp
762	pyroaring	notp
763	ua-parser	tp
764	python-utils	notp
765	pypdfium2	tp
766	sphinxcontrib-jsmath	
767	wcmatch	tp
768	stevedore	
769	gremlinpython	
770	pkgutil-resolve-name	notp
771	gcloud-aio-auth	notp
772	id	tp
773	cbor2	tp
774	astronomer-cosmos	tp
775	stripe	notp
776	cssselect2	tp
777	jira	tp
778	oscrypto	notp
779	texttable	notp
780	tensorflow	
781	bitarray	notp
782	lazy-loader	tp
783	requests-mock	notp
784	azure-mgmt-resource	notp
785	grpc-interceptor	tp
786	gcloud-aio-bigquery	notp
787	apache-airflow-providers-cncf-kubernetes	notp
788	wandb	notp
789	sagemaker-studio	
790	mypy-boto3-batch	notp
791	flit-core	tp
792	aiohttp-retry	notp
793	pymdown-extensions	tp
794	types-cachetools	notp
795	kafka-python	notp
796	hyperlink	notp
797	flask-limiter	tp
798	pymilvus	tp
799	types-toml	notp
800	opt-einsum	
801	click-option-group	tp
802	apache-airflow-providers-databricks	notp
803	flask-login	notp
804	pyproj	notp
805	opencensus	notp
806	accelerate	notp
807	kubernetes-asyncio	
808	tensorboard-data-server	notp
809	py-cpuinfo	notp
810	datadog-api-client	tp
811	jsonpickle	notp
812	djangorestframework	tp
813	cached-property	notp
814	markdownify	notp
815	pathlib-abc	tp
816	youtube-transcript-api	notp
817	argparse	notp
818	opencensus-context	notp
819	oracledb	notp
820	userpath	
821	sentence-transformers	notp
822	apache-airflow-providers-snowflake	notp
823	pydeck	notp
824	google-cloud-translate	tp
825	levenshtein	tp
826	snowplow-tracker	
827	gast	notp
828	pathos	notp
829	daff	notp
830	temporalio	notp
831	aws-lambda-powertools	tp
832	pytest-html	tp
833	azure-servicebus	notp
834	joserfc	tp
835	aws-xray-sdk	notp
836	einops	notp
837	jpype1	notp
838	looker-sdk	
839	bidict	notp
840	time-machine	tp
841	py-key-value-shared	
842	pyexasol	notp
843	singer-sdk	tp
844	spacy	tp
845	pdfplumber	notp
846	fasteners	notp
847	deltalake	notp
848	murmurhash	tp
849	smdebug-rulesconfig	notp
850	statsd	notp
851	partd	notp
852	databricks-labs-blueprint	tp
853	strictyaml	notp
854	locket	notp
855	google-cloud-container	tp
856	cron-descriptor	notp
857	natsort	notp
858	pox	notp
859	google-cloud-datacatalog	tp
860	opentelemetry-instrumentation-logging	notp
861	ppft	notp
862	jax	tp
863	apache-airflow	notp
864	pinecone	
865	eval-type-backport	notp
866	python-pptx	
867	grpclib	notp
868	pyotp	tp
869	google-cloud-build	tp
870	python-gitlab	tp
871	parse	notp
872	cymem	tp
873	ua-parser-builtins	tp
874	blis	tp
875	emoji	tp
876	jwcrypto	notp
877	tifffile	notp
878	catalogue	notp
879	cloudpathlib	notp
880	google-cloud-dataplex	tp
881	azure-mgmt-storage	notp
882	preshed	tp
883	curl-cffi	notp
884	sqlalchemy-spanner	tp
885	keyrings-google-artifactregistry-auth	notp
886	gql	notp
887	google-cloud-storage-transfer	tp
888	pytest-env	tp
889	ydb	notp
890	maxminddb	tp
891	srsly	tp
892	thinc	tp
893	sh	tp
894	pyspnego	tp
895	simpleeval	
896	opentelemetry-distro	notp
897	strenum	notp
898	pydantic-ai-slim	tp
899	wasabi	notp
900	watchtower	tp
901	keras	notp
902	fastapi-cloud-cli	tp
903	python-daemon	
904	pybase64	tp
905	azure-storage-file-share	notp
906	pyathena	tp
907	makefun	notp
908	pickleshare	notp
909	factory-boy	notp
910	azure-mgmt-containerservice	notp
911	pydub	
912	pyproject-api	tp
913	spacy-legacy	
914	torchaudio	notp
915	tritonclient	
916	python-socketio	notp
917	google-generativeai	notp
918	python-engineio	notp
919	spacy-loggers	notp
920	fastparquet	notp
921	docopt	
922	backcall	notp
923	parameterized	notp
924	ty	tp
925	amazon-ion	tp
926	clickhouse-connect	notp
927	rich-argparse	notp
928	pydot	notp
929	fuzzywuzzy	notp
930	python-gnupg	notp
931	fire	notp
932	immutabledict	tp
933	apache-airflow-providers-common-compat	notp
934	hiredis	notp
935	grpcio-gcp	
936	simple-websocket	notp
937	geopandas	tp
938	xarray	tp
939	azure-keyvault-keys	notp
940	bandit	tp
941	python-discovery	
942	unidiff	notp
943	cmake	tp
944	apache-airflow-providers-mysql	notp
945	rignore	
946	jupyter-console	
947	jupyter	
948	apache-airflow-providers-ssh	notp
949	soundfile	notp
950	mkdocs-material	tp
951	confection	tp
952	boltons	notp
953	django-cors-headers	tp
954	geoip2	tp
955	resolvelib	tp
956	wtforms	tp
957	pinecone-plugin-assistant	
958	pgvector	notp
959	pydeequ	notp
960	py-spy	notp
961	cohere	
962	apache-airflow-providers-http	notp
963	twilio	notp
964	mkdocs	tp
965	segment-analytics-python	notp
966	databricks-cli	notp
967	apache-airflow-providers-google	notp
968	google-ai-generativelanguage	tp
969	jaydebeapi	notp
970	av	notp
971	async-generator	notp
972	onnx	tp
973	flask-wtf	tp
974	nvidia-ml-py	
975	astunparse	notp
976	types-cffi	notp
977	ghp-import	notp
978	pydantic-graph	tp
979	diff-cover	notp
980	pyyaml-env-tag	tp
981	avro	
982	caio	tp
983	azure-kusto-data	tp
984	aiofile	notp
985	configargparse	tp
986	psycopg-pool	notp
987	pinotdb	notp
988	nexus-rpc	
989	pyphen	notp
990	realtime	
991	apispec	tp
992	testcontainers	tp
993	azure-keyvault-certificates	notp
994	thrift-sasl	notp
995	geographiclib	notp
996	trino	notp
997	questionary	notp
998	types-redis	notp
999	azure-mgmt-msi	notp
1000	crc32c	notp
1001	prek	tp
1002	ldap3	notp
1003	weasyprint	tp
1004	geopy	notp
1005	numexpr	notp
1006	connexion	notp
1007	pycares	notp
1008	genson	notp
1009	json-repair	tp
1010	langchain-classic	tp
1011	types-paramiko	notp
1012	zopfli	notp
1013	face	tp
1014	types-deprecated	notp
1015	glom	notp
1016	mkdocs-material-extensions	notp
1017	atlassian-python-api	notp
1018	types-pyopenssl	notp
1019	opentelemetry-resourcedetector-gcp	notp
1020	aiohttp-cors	tp
1021	types-tabulate	notp
1022	fastapi-mcp	notp
1023	cachelib	notp
1024	office365-rest-python-client	notp
1025	azure-mgmt-containerregistry	notp
1026	kfp	tp
1027	langcodes	tp
1028	docker-pycreds	notp
1029	py-partiql-parser	notp
1030	datetime	notp
1031	azure-data-tables	notp
1032	ipdb	notp
1033	flask-appbuilder	notp
1034	mkdocs-get-deps	tp
1035	aiodns	tp
1036	faiss-cpu	tp
1037	langchain-anthropic	tp
1038	colorful	notp
1039	jaxlib	tp
1040	pywavelets	notp
1041	asynctest	notp
1042	meson	notp
1043	hatch-vcs	
1044	optuna	tp
1045	memray	notp
1046	weasel	tp
1047	pdf2image	notp
1048	openai-agents	tp
1049	opentelemetry-instrumentation-sqlalchemy	notp
1050	sphinx-rtd-theme	notp
1051	monotonic	notp
1052	azure-mgmt-cosmosdb	notp
1053	pydantic-ai	tp
1054	imbalanced-learn	notp
1055	pywin32-ctypes	notp
1056	yfinance	notp
1057	langfuse	
1058	types-aiofiles	notp
1059	incremental	tp
1060	azure-mgmt-compute	notp
1061	mistralai	notp
1062	openlineage-python	
1063	lightgbm	notp
1064	mlflow-tracing	notp
1065	shap	tp
1066	asyncssh	notp
1067	pytest-django	tp
1068	pyserial	notp
1069	gradio	tp
1070	paginate	notp
1071	azure-mgmt-containerinstance	notp
1072	apache-airflow-providers-amazon	notp
1073	datamodel-code-generator	tp
1074	hydra-core	tp
1075	libclang	notp
1076	pytesseract	notp
1077	qrcode	notp
1078	pysftp	
1079	jellyfish	notp
1080	types-markdown	notp
1081	ansible-core	notp
1082	pooch	tp
1083	scp	notp
1084	ratelimit	notp
1085	hatch	
1086	chromadb	notp
1087	valkey-glide-sync	
1088	boolean-py	notp
1089	license-expression	notp
1090	azure-monitor-opentelemetry	notp
1091	adlfs	
1092	grpcio-reflection	
1093	qdrant-client	notp
1094	mypy-boto3-rds	notp
1095	firebase-admin	tp
1096	html2text	tp
1097	astor	notp
1098	feedparser	notp
1099	aioresponses	notp
1100	oldest-supported-numpy	notp
1101	pymupdf4llm	notp
1102	ciso8601	notp
1103	jsonlines	notp
1104	supabase	tp
1105	python-levenshtein	notp
1106	flask-babel	notp
1107	jsondiff	
1108	slicer	notp
1109	pyogrio	tp
1110	pyarrow-hotfix	
1111	pybreaker	tp
1112	fastar	notp
1113	locust	notp
1114	optree	notp
1115	opentelemetry-instrumentation-redis	notp
1116	pygtrie	notp
1117	envoy-data-plane	
1118	mypy-boto3-sqs	notp
1119	configparser	notp
1120	trio-typing	notp
1121	backports-asyncio-runner	tp
1122	django-filter	notp
1123	cloudevents	notp
1124	pytest-split	notp
1125	flask-session	tp
1126	meson-python	tp
1127	aiomysql	tp
1128	pydyf	tp
1129	azure-eventhub	notp
1130	storage3	tp
1131	python-hcl2	notp
1132	requests-ntlm	notp
1133	azure-storage-common	notp
1134	appnope	notp
1135	aiosmtplib	notp
1136	sqlmodel	tp
1137	uuid6	notp
1138	distributed	notp
1139	cadwyn	tp
1140	postgrest	tp
1141	alibabacloud-credentials	notp
1142	yt-dlp	tp
1143	synchronicity	
1144	rdflib	notp
1145	backrefs	tp
1146	prometheus-fastapi-instrumentator	notp
1147	kazoo	notp
1148	ftfy	tp
1149	pyproject-metadata	tp
1150	microsoft-kiota-authentication-azure	notp
1151	azure-mgmt-datalake-store	notp
1152	shortuuid	notp
1153	pyrfc3339	tp
1154	timm	notp
1155	pika	notp
1156	applicationinsights	notp
1157	maturin	tp
1158	simple-gcp-object-downloader	
1159	fabric	notp
1160	types-docutils	notp
1161	packageurl-python	tp
1162	ansible	tp
1163	service-identity	
1164	pyinstrument	tp
1165	webdriver-manager	notp
1166	h3	notp
1167	cyclonedx-python-lib	tp
1168	cloudflare	notp
1169	modal	tp
1170	microsoft-kiota-serialization-text	notp
1171	mypy-boto3-dynamodb	notp
1172	wirerope	tp
1173	microsoft-kiota-http	notp
1174	olefile	
1175	microsoft-kiota-serialization-json	notp
1176	torchmetrics	tp
1177	django-extensions	notp
1178	tensorflow-estimator	
1179	dunamai	notp
1180	twisted	tp
1181	pytorch-lightning	notp
1182	apache-airflow-providers-smtp	notp
1183	azure-nspkg	notp
1184	awscrt	notp
1185	huey	notp
1186	mkdocstrings-python	notp
1187	azure-mgmt-datafactory	notp
1188	sphinxcontrib-jquery	notp
1189	contextlib2	
1190	groq	notp
1191	lxml-html-clean	notp
1192	azure-synapse-artifacts	notp
1193	iso8601	notp
